"Module Name","Display Name","Driver Type","Link Date"
"kdnic","Microsoft Kernel Debug Network Miniport","Kernel ",""
"kdnic_legacy","Microsoft Kernel Debug Network Miniport (NDIS 6.20)","Kernel ",""
"KSecDD","KSecDD","Kernel ",""
"KSecPkg","KSecPkg","Kernel ",""
"KslD","KslD","Kernel ",""
"ksthunk","Kernel Streaming Thunks","Kernel ",""
"l1vhlwf","Nested Network Virtualization","Kernel ",""
"l2bridge","Bridge Driver","Kernel ",""
"lltdio","Link-Layer Topology Discovery Mapper I/O Driver","Kernel ",""
"LSI_SAS","LSI_SAS","Kernel ","26-03-2015 01:06:48 AM"
"LSI_SAS2i","LSI_SAS2i","Kernel ","02-08-2017 06:59:59 PM"
"LSI_SAS3i","LSI_SAS3i","Kernel ","21-08-2020 01:03:28 PM"
"luafv","UAC File Virtualization","File System ",""
"lxss","lxss","Kernel ",""
"mausbhost","MA-USB Host Controller Driver","Kernel ",""
"mausbip","MA-USB IP Filter Driver","Kernel ",""
"MbbCx","MBB Network Adapter Class Extension","Kernel ",""
"megasas2i","megasas2i","Kernel ","22-01-2020 03:27:48 PM"
"megasas35i","megasas35i","Kernel ","12-01-2021 01:29:10 PM"
"megasr","megasr","Kernel ","04-06-2013 03:32:39 AM"
"MEIx64","Intel(R) Management Engine Interface ","Kernel ","29-09-2025 12:46:26 AM"
"mfeelam","McAfee ELAM Driver","Kernel ","15-08-2025 03:28:24 AM"
"mfesec","McAfee Security Driver","File System ","02-09-2025 11:12:21 PM"
"Microsoft_Bluetooth_AvrcpTransport","Microsoft Bluetooth Avrcp Transport Driver","Kernel ",""
"mlx4_bus","Mellanox ConnectX Bus Enumerator","Kernel ","19-06-2019 06:51:08 PM"
"MMCSS","Multimedia Class Scheduler","Kernel ",""
"Modem","Modem","Kernel ",""
"monitor","Microsoft Monitor Class Function Driver Service","Kernel ",""
"mouclass","Mouse Class Driver","Kernel ",""
"mouhid","Mouse HID Driver","Kernel ",""
"mountmgr","Mount Point Manager","Kernel ",""
"mpi3drvi","mpi3drvi","Kernel ","17-11-2021 03:52:38 AM"
"mpsdrv","Windows Defender Firewall Authorization Driver","Kernel ",""
"MRxDAV","WebDav Client Redirector Driver","File System ",""
"mrxsmb","SMB MiniRedirector Wrapper and Engine","File System ",""
"mrxsmb20","SMB 2.0 MiniRedirector","File System ",""
"MsBridge","Microsoft MAC Bridge","Kernel ",""
"Msfs","Msfs","File System ",""
"msgpiowin32","Common Driver for Buttons, DockMode and Laptop/Slate Indicator","Kernel ",""
"mshidkmdf","Pass-through HID to KMDF Filter Driver","Kernel ",""
"mshidumdf","Pass-through HID to UMDF Driver","Kernel ",""
"msisadrv","msisadrv","Kernel ",""
"MSKSSRV","Microsoft Streaming Service Proxy","Kernel ",""
"MsLldp","Microsoft Link-Layer Discovery Protocol","Kernel ",""
"MSPCLOCK","Microsoft Streaming Clock Proxy","Kernel ",""
"MSPQM","Microsoft Streaming Quality Manager Proxy","Kernel ",""
"MsQuic","MsQuic","Kernel ",""
"MsQuicPrev","MSQUIC","Kernel ",""
"MsRPC","MsRPC","Kernel ",""
"mssmbios","Microsoft System Management BIOS Driver","Kernel ",""
"MSTEE","Microsoft Streaming Tee/Sink-to-Sink Converter","Kernel ",""
"MTConfig","Microsoft Input Configuration Driver","Kernel ",""
"Mup","Mup","File System ",""
"mvumis","mvumis","Kernel ","24-05-2014 02:09:04 AM"
"NativeWifiP","NativeWiFi Filter","Kernel ",""
"ndfltr","NetworkDirect Service","Kernel ","19-06-2019 06:48:42 PM"
"NDIS","NDIS System Driver","Kernel ",""
"NdisCap","Microsoft NDIS Capture","Kernel ",""
"NdisImPlatform","Microsoft Network Adapter Multiplexor Protocol","Kernel ",""
"NdisTapi","Remote Access NDIS TAPI Driver","Kernel ",""
"Ndisuio","NDIS Usermode I/O Protocol","Kernel ",""
"NdisVirtualBus","Microsoft Virtual Network Adapter Enumerator","Kernel ",""
"NdisWan","Remote Access NDIS WAN Driver","Kernel ",""
"ndiswanlegacy","Remote Access LEGACY NDIS WAN Driver","Kernel ",""
"NDKPerf","NDKPerf Driver","Kernel ",""
"NDKPing","NDKPing Driver","Kernel ",""
"ndproxy","NDIS Proxy Driver","Kernel ",""
"Ndu","Windows Network Data Usage Monitoring Driver","Kernel ",""
"NetAdapterCx","Network Adapter WDF Class Extension Library","Kernel ",""
"NetBIOS","NetBIOS Interface","File System ",""
"NetBT","NetBT","Kernel ",""
"netvsc","netvsc","Kernel ",""
"NetworkPrivacyPolicy","Microsoft Network Privacy Policy Service","Kernel ",""
"Npfs","Npfs","File System ",""
"npsvctrig","Named pipe service trigger provider","Kernel ",""
"nsiproxy","NSI Proxy Service Driver","Kernel ",""
"Ntfs","Ntfs","File System ",""
"Null","Null","Kernel ",""
"nvdimm","Microsoft NVDIMM device driver","Kernel ",""
"nvmedisk","Microsoft NVMe disk driver","Kernel ",""
"nvraid","nvraid","Kernel ","21-04-2014 11:58:42 PM"
"nvstor","nvstor","Kernel ","22-04-2014 12:04:03 AM"
"P9Rdr","Plan 9 Redirector Driver","Kernel ",""
"Parport","Parallel port driver","Kernel ",""
"partmgr","Partition driver","Kernel ",""
"passthruparser","PassthroughParser","Kernel ",""
"pci","PCI Bus Driver","Kernel ",""
"pciide","pciide","Kernel ",""
"pcmcia","pcmcia","Kernel ",""
"pcw","Performance Counters for Windows Driver","Kernel ",""
"pdc","pdc","Kernel ",""
"PEAUTH","PEAUTH","Kernel ",""
"percsas2i","percsas2i","Kernel ","15-03-2016 06:20:11 AM"
"percsas3i","percsas3i","Kernel ","02-06-2018 03:17:02 AM"
"PktMon","Packet Monitor Driver","Kernel ",""
"PktMonApi","Packet Monitor Export Driver","Kernel ",""
"PlutonHeci","Microsoft Pluton Security Service","Kernel ",""
"PlutonHsp2","Microsoft Pluton Service","Kernel ",""
"pmem","Microsoft persistent memory disk driver","Kernel ",""
"PNPMEM","Microsoft Memory Module Driver","Kernel ",""
"portcfg","portcfg","Kernel ",""
"PptpMiniport","WAN Miniport (PPTP)","Kernel ",""
"PRI-Driver","PRI-Driver","Kernel ","25-09-2024 01:40:18 PM"
"PRM","Microsoft PRM Driver","Kernel ",""
"Processor","Processor Driver","Kernel ",""
"Psched","QoS Packet Scheduler","Kernel ",""
"pvhdparser","pvhdparser","Kernel ",""
"pvscsi","pvscsi Storage Controller Driver","Kernel ","20-05-2021 09:25:26 AM"
"QWAVEdrv","QWAVE driver","Kernel ",""
"Ramdisk","Windows RAM Disk Driver","Kernel ",""
"RasAcd","Remote Access Auto Connection Driver","Kernel ",""
"RasAgileVpn","WAN Miniport (IKEv2)","Kernel ",""
"Rasl2tp","WAN Miniport (L2TP)","Kernel ",""
"RasPppoe","Remote Access PPPOE Driver","Kernel ",""
"RasSstp","WAN Miniport (SSTP)","Kernel ",""
"rdbss","Redirected Buffering Sub System","File System ",""
"rdpbus","Remote Desktop Device Redirector Bus Driver","Kernel ",""
"RDPDR","Remote Desktop Device Redirector Driver","Kernel ",""
"rdyboost","ReadyBoost","Kernel ",""
"ReFS","ReFS","File System ",""
"ReFSv1","ReFSv1","File System ",""
"RFCOMM","Bluetooth Device (RFCOMM Protocol TDI)","Kernel ",""
"rhproxy","Resource Hub proxy driver","Kernel ",""
"rspndr","Link-Layer Topology Discovery Responder","Kernel ",""
"RtkBtFilter","Realtek Bluetooth Filter Driver","Kernel ","12-07-2024 11:39:43 AM"
"RTSUER","Realtek USB Card Reader - UER","Kernel ","27-09-2023 02:36:41 PM"
"RTWlanE","Realtek Wireless LAN 802.11n PCI-E Network Adapter","Kernel ","03-09-2025 09:25:46 AM"
"s3cap","s3cap","Kernel ",""
"sbp2port","SBP-2 Transport/Protocol Bus Driver","Kernel ",""
"scfilter","Smart card PnP Class Filter Driver","Kernel ",""
"scmbus","Microsoft Storage Class Memory Bus Driver","Kernel ",""
"sdbus","sdbus","Kernel ",""
"SdcaHidInbox","SoundWire HID Driver","Kernel ",""
"SdcaMfdInbox","SoundWire Audio Multifunction Driver","Kernel ",""
"sdstor","SD Storage Port Driver","Kernel ",""
"SerCx","Serial UART Support Library","Kernel ",""
"SerCx2","Serial UART Support Library","Kernel ",""
"Serenum","Serenum Filter Driver","Kernel ",""
"Serial","Serial port driver","Kernel ",""
"sermouse","Serial Mouse Driver","Kernel ",""
"sfloppy","High-Capacity Floppy Disk Drive","Kernel ",""
"SiSRaid2","SiSRaid2","Kernel ","24-09-2008 11:58:20 PM"
"SiSRaid4","SiSRaid4","Kernel ","02-10-2008 03:26:04 AM"
"SmartSAMD","SmartSAMD","Kernel ","21-02-2019 11:24:44 PM"
"spaceparser","spaceparser","Kernel ",""
"spaceport","Storage Spaces Driver","Kernel ",""
"SpbCx","Simple Peripheral Bus Support Library","Kernel ",""
"srv2","Server SMB 2.xxx Driver","File System ",""
"srvnet","srvnet","File System ",""
"stexstor","stexstor","Kernel ","27-11-2012 05:32:51 AM"
